login,name,profile_url,bio,public_repos,followers,following,commits_last_year,contributed_repos
Rich-Harris,Rich Harris,https://github.com/Rich-Harris,,392,20245,0,50,1
dummdidumm,Simon H,https://github.com/dummdidumm,Passionate about web frontends. ,57,723,0,50,1
paoloricciuti,Paolo Ricciuti,https://github.com/paoloricciuti,You can find me around the web as pablopang or as paoloricciuti.,162,251,51,50,1
Ocean-OS,ComputerGuy,https://github.com/Ocean-OS,I program stuff,27,44,96,48,1
7nik,,https://github.com/7nik,,18,9,0,31,1
trueadm,Dominic Gannaway,https://github.com/trueadm,"I'm a software engineer. Author of Ripple, @lexicaljs and @infernojs. Former @reactjs core team engineer, and core maintainer of @sveltejs at @vercel.",65,4814,35,26,1
benmccann,Ben McCann,https://github.com/benmccann,"Co-Founder of AI search company, Connectifier - acquired by LinkedIn.

A creator of SvelteKit and maintainer of data libraries Tablesaw and Chart.js",827,1265,2,20,1
adiguba,adiGuba,https://github.com/adiguba,,4,3,0,16,1
elliott-with-the-longest-name-on-github,Elliott Johnson,https://github.com/elliott-with-the-longest-name-on-github,"Striving to stay gruntled and corrigible, but never peccable.

Svelte Core team",48,92,1,14,1
navorite,Ahmad S.,https://github.com/navorite,Free Palestine,8,13,3,4,1
dominikg,Dominik G.,https://github.com/dominikg,"PSA: 
I don't use upwork or similar platforms to look for jobs or offer my services. 
Do not contact me with offers via github account email.",80,365,25,4,1
Conduitry,,https://github.com/Conduitry,,41,681,0,1,1
PuruVJ,Puru Vijay,https://github.com/PuruVJ,"I make things small and fast 🚀
@sveltejs team
",102,987,67,1,1
brunnerh,,https://github.com/brunnerh,,52,27,18,1,1
github-actions[bot],,https://github.com/apps/github-actions,,0,0,0,0,1
tanhauhau,Tan Li Hau,https://github.com/tanhauhau,"Frontend Developer at @Shopee 
🇲🇾💻in 🇸🇬",233,1644,280,0,1
baseballyama,Yuichiro Yamashita,https://github.com/baseballyama,,104,81,5,0,1
gtm-nayan,gtmnayan,https://github.com/gtm-nayan,,86,56,20,0,1
dependabot[bot],,https://github.com/apps/dependabot,,0,0,0,0,1
Swatinem,Arpad Borsos,https://github.com/Swatinem,,170,454,67,0,1
DreaminDani,Dani Sandoval,https://github.com/DreaminDani,Putting the human experience first. Developing solutions to make it better.,68,41,10,0,1
jacwright,Jacob Wright,https://github.com/jacwright,,76,160,5,0,1
lukeed,Luke Edwards,https://github.com/lukeed,,342,4992,23,0,1
mrkishi,Maurício Kishi,https://github.com/mrkishi,,28,96,23,0,1
mindrones,Luca Bonavita,https://github.com/mindrones,"Data visualization, linked data, all things visual.",20,114,79,0,1
pngwn,pngwn,https://github.com/pngwn,brrrrrr!,97,811,11,0,1
ngtr6788,Nguyen Tran,https://github.com/ngtr6788,,17,6,0,0,1
geoffrich,Geoff Rich,https://github.com/geoffrich,@sveltejs team member and pianist.,84,253,6,0,1
ekhaled,Khaled Ahmed,https://github.com/ekhaled,,59,45,2,0,1
ignatiusmb,Ignatius Bagus,https://github.com/ignatiusmb,in a rabbit hole,16,108,1,0,1
EmilTholin,Emil Tholin,https://github.com/EmilTholin,,9,182,10,0,1
antony,Antony Jones,https://github.com/antony,Chief Technical Officer @beyonk-group Previously CTA @vendigo-group. Creator of @vudash. Software Quality zealot. Agile fanatic. Open source obsessive,201,379,70,0,1
tivac,Pat Cavit,https://github.com/tivac,Web Programming. JS build tooling.,131,176,37,0,1
jches,j chesley,https://github.com/jches,,4,7,1,0,1
zxbodya,Bogdan Savluk,https://github.com/zxbodya,,56,93,18,0,1
btk5h,Bryan Terce,https://github.com/btk5h,pog,55,45,2,0,1
PaulBGD,PaulBGD,https://github.com/PaulBGD,A guy. ,164,154,24,0,1
halfnelson,,https://github.com/halfnelson,,99,163,3,0,1
