contributor,follows,target_followers
DreaminDani,torinmb,672
DreaminDani,kwhitley,292
DreaminDani,jordandobson,141
DreaminDani,mashiox,85
DreaminDani,Danese,23
DreaminDani,CaptainKurt,17
DreaminDani,csarkosh,9
DreaminDani,skylarenglish,8
DreaminDani,wongnat,7
DreaminDani,triestpa,0
Ocean-OS,torvalds,270353
Ocean-OS,yyx990803,106427
Ocean-OS,gaearon,90210
Ocean-OS,sindresorhus,76739
Ocean-OS,github,66020
Ocean-OS,codediodeio,22989
Ocean-OS,douglascrockford,21920
Ocean-OS,Rich-Harris,20245
Ocean-OS,t3dotgg,16256
Ocean-OS,developit,12922
Ocean-OS,mathiasbynens,12802
Ocean-OS,mozilla,10046
Ocean-OS,tc39,9560
Ocean-OS,BrendanEich,6530
Ocean-OS,raspberrypi,6403
Ocean-OS,trueadm,4814
Ocean-OS,surma,4560
Ocean-OS,transitive-bullshit,4449
Ocean-OS,ryansolid,3710
Ocean-OS,electron,3697
Ocean-OS,Mojang,3468
Ocean-OS,nolanlawson,3352
Ocean-OS,elebumm,2629
Ocean-OS,copy,2349
Ocean-OS,amasad,2294
Ocean-OS,WebReflection,2270
Ocean-OS,TodePond,2194
Ocean-OS,benmccann,1265
Ocean-OS,DustinBrett,1196
Ocean-OS,mitxela,919
Ocean-OS,griffpatch,857
Ocean-OS,pngwn,811
Ocean-OS,dummdidumm,723
Ocean-OS,Conduitry,681
Ocean-OS,SethBling,584
Ocean-OS,slicedlime,576
Ocean-OS,jeffpar,442
Ocean-OS,WorldLanguages,333
Ocean-OS,gnh1201,218
Ocean-OS,milomg,201
Ocean-OS,trumank,174
Ocean-OS,PullJosh,164
Ocean-OS,MikeDev101,135
Ocean-OS,haylinmoore,130
Ocean-OS,as-com,95
Ocean-OS,MegaApuTurkUltra,64
Ocean-OS,joker314,59
Ocean-OS,PolyEdge,43
Ocean-OS,TheLogFather,38
Ocean-OS,Tegmen,10
PuruVJ,yyx990803,106427
PuruVJ,gaearon,90210
PuruVJ,addyosmani,44810
PuruVJ,antfu,38084
PuruVJ,paulirish,31758
PuruVJ,benawad,29089
PuruVJ,brunosimon,21186
PuruVJ,Rich-Harris,20245
PuruVJ,rauchg,16346
PuruVJ,lydiahallie,14828
PuruVJ,cassidoo,14452
PuruVJ,developit,12922
PuruVJ,joshwcomeau,7688
PuruVJ,swyxio,7222
PuruVJ,mourner,6093
PuruVJ,lukeed,4992
PuruVJ,sveltejs,4600
PuruVJ,surma,4560
PuruVJ,stolinski,3729
PuruVJ,markdalgleish,3262
PuruVJ,patak-dev,3104
PuruVJ,manucorporat,2818
PuruVJ,adamdbradley,1799
PuruVJ,marvinhagemeister,1682
PuruVJ,mattgperry,1618
PuruVJ,angus-c,1561
PuruVJ,bautistaaa,1293
PuruVJ,steve8708,1248
PuruVJ,raineorshine,1144
