package_name,usage_count,versions
typescript,366,"^3.2.2,^5.0.4,^5.0.0,^4.3.5,^5.4.5,~4.9.5,^4.7.4,catalog:,^5.5.0,^4.9.3,^4.0.3,^5.2.2,^4.3.2,^4,^2.6.2,^3.6.2,^3.0.1,^3,^5.9.3,5.8.3,^3.9.3,latest,5.8.2,^4.9.5,^3.9.7,~4.3.5,^5.9.2,^4.9.4,^3.7.5,~4.8.3,^4.6.4,^3.6.3,^1.8.10,^5.3.2,4.9.4,^5.4.2,^4.4.4,5.2.2,^5.7.3,^5.8.3,~5.9.2,^4.6.3,4.3.5,^5.9.0,5.4.2,5.9.2,^5.3.3,^5.2.0,^5.6.2,^5.6.3,^5.5.2,^5.5.4,^5,catalog:tooling,^5.7.2,^5.5.3,^4.5.4,^4.5.2,^4.8.2,^4.7.3,^5.1.6,5.9.3,>=4.8.4 <6.0.0,~5.8.3,5.1.6,5.5.4,5.4.5,^5.8.2,~4.7.4,^3.1.3,5.6.3,~4.9.4,^4.1.5,5.3.3,^2.4.1,5.7.3,~5.2.2,~4.5.5,^5.1.3,^4.5.5,^5.4.4,^2.8.1 || ~3.9.5 || ~4.5.2,^4.4.3,^5.0.2,4.7.4,~4.6.2,^4.3.4,^4.8.4,2.0.8,^4.0.0,5.4.3,4.4.2,^4.2.4,4.9.3,3.6.2,5.6.2,2.8.1,~4.5.4,^3.4.5"
prettier,309,"^3.6.2,2.2.1,^1.18.2,^3.3.2,^3.1.1,~2.3.2,^2.8.4,^3.4.2,^2.8.8,^2.8.0,^2.3.1,^1.14.2,^1.5.3,^3.5.3,^2.8.3,^3.2.4,2.4.1,2.0.5,~3.3.3,^3.3.3,^1.15.2,1.19.1,^2.7.1,1.17.0,^2.3.2,^3.0.3,^1.7.4,^2.6.2,^2.0.5,^2.8.2,^3.2.1,3.0.3,2.0.4,^1.19.1,^1.2.2,^3.2.5,catalog:,^2.5.1,3.5.3,3.6.2,2.8.8,^3.7.4,^3.6.0,^3.5.2,^3.1.0,catalog:lint,^3.7.3,^3.0.2,2.8.7,^2.2.1,~3.7.4,3.7.4,3.2.5,3.3.3,^2.5.0,^3.0.1,^3.7.1,2.1.1,^1.8.2,1.7.4,^3,^2.4.1,^2.2.0,~2.2.1,~2.3.1,~2.5.1,2.7.1,~3.1.0,~3.0.1,~3.5.3,^2.8.1,latest,2.6.2"
eslint,280,"^9.38.0,7.23.0,^3.2.2,^5.10.0,^7.30.0,^1.10.3,^3.10.2,^4.3.0,^3.12.2,^4.2.0,^9.36.0,^8.57.1,9.25.0,^9.18.0,^8.33.0,^8.56.0,^7.11.0,^7.1.0,^7.32.0,7.0.0,^7.10.0,^8.40.0,^9.16.0,^5.9.0,^7.7.0,^8.22.0,^8.35.0,5.1.0,^6.8.0,^7.31.0,^8.8.0,^1.5.0,^8.28.0,5.12.0,^4.10.0,^8.16.0,^8.55.0,^8.31.0,^8.48.0,8.53.0,^7.14.0,^9.26.0,^6.6.0,^9.37.0,^3.19.0,^8.57.0,catalog:,9.22.0,^9.22.0,8.45.0,8.56.0,^9.27.0,^8.23.1,^9.30.1,^9.8.0,^9.13.0,^9.6.0,^9.39.1,8.57.1,^9,^8.51.0,^9.39.2,catalog:lint,^9.35.0,^9.39.0,^9.0.0,^8.10.0,^9.9.0,^8.45.0,^7.19.0,8.57.0,^9.10.0,^9.34.0,9.25.1,^9.21.0,^9.5.0,^8.5.0,^9.17.0,^8.50.0,^9.1.1,^8.44.0,^8.47.0,^9.9.1,^9.31.0,~8.57.0,^9.15.0,5.16.0,9.9.1,9.39.2,^4.11.0,^8.43.0,^9.24.0,9.18.0,^9.7.0,9.14.0,^7.13.0,^9.14.0,9.33.0,^8.25.0,^8.3.0,^7.22.0,^7.15.0,^7.29.0,^8.39.0,^8.38.0,^8.49.0,^8.6.0,^8.30.0,^2 || ^3 || ^4 || ^5 || ^6 || ^7.2.0 || ^8,^8.32.0,^8.42.0,^7.28.0,^8.12.0,^8.18.0,^8.11.0,^8.54.0,^5.8.0,^9.32.0,^8.13.0,^5.0.1,^5.16.0,^5.12.1,^3.7.1,^2.13.0"
svelte,267,"^5.28.6,5.0.0-next.79,^3.38.3,^3.42.1,^3.55.1,^5.0.0,^5.43.6,^3.58.0,^3.54.0,^3.0.0,^3.24.0,github:UnwrittenFun/svelte#fix/object-array-pattern-end,^5.43.8,5.35.2,^4.0.0,^5.0.0-next.1,^3.29.0,^3.23.2,^3.29.4,3.22.2,^3.56.0,5.0.0-next.249,^3.13.0,^3.38.2,^3.53.1,^4.2.7,^3.44.0,4.2.2,^3.30.0,3.20.1,^5.28.2,^5.41.0,^4.2.20,4.2.19,^3.22.2,^5.1.3,5.46.0,^4.0.5,^5.45.6,5.36.3,^5.34.7,^5.43.14,^5.45.4,^5.46.1,^5.46.0,catalog:,^5.38.9,5.0.0-next.85,^4.2.18,^5.44.0,5.34.8,^4.2.14,^4.2.8,^5.7.1,^3.46.2,^5.41.2,^3.44.3,^3.44.2,^3.49.0,^3.42.3,^3.48.0,5.36.2,5.0.0-next.244,^4.2.9,^3.32.1,4.2.20,^5.22.2,^5.16.1,^4.2.16,^4.2.15,^3.47.0,^4.2.0,5,workspace:^,^5.36.16,^5.33.3,5.46.1,^4.2.19,^4,^5.34.3,^5.28.1,^5.38.6,5.20.1,^5.43.3,5.1.9,^5.25.3,^5.42.2,^5.38.1,3.35.0,5.34.9,^3.52.0,^3.34.0,^3.31.0,^5.43.4,^5.1.1,^5.19.0,^5.0.3,^5.19.3,^4.2.12,5.0.2,^5.45.3,^3.9.1,4.2.9,^4.2.10,^5.23.1,4.2.12,4.2.1,^5.13.0,^3.46.4,^5.25.0,^5.25.6,^3.59.2,^3.37.0,~3.12.1,^3.3.0,^2.9.1,^3.6.9,^3.0.0-beta.28,^2.0.0"
vite,209,"^6.0.0,^5.0.3,^4.1.3,^5.4.11,catalog:,^5.4.4,^4.3.4,^4.2.0,^5.0.11,^7.2.2,^7.0.4,^6.3.6,^6.2.6,^7.0.2,^5.2.6,^6.3.2,workspace:*,^3.2.1,^4.3.0,^3.1.0,^5.0.13,^2.7.2,^7.3.0,^6.2.5,^5.4.20,^7.1.7,5.4.14,^5.4.10,^7.0.0,^4.4.2,^7.2.6,^6.0.1,^7.1.10,^6.3.5,^7.1.4,^7.1.12,^5.2.10,^6.4.1,5.4.10,^2.2.4,^5.2.9,^2.7.13,^2.7.1,3.1.0-beta.1,^4.4.1,^5.4.1,^7.2.7,^5.0.0,7.2.4,^7.1.11,^6.2.0,^3.0.1,^6.0.7,^4.5.3,^5.2.11,^4.4.9,^4.0.0,^7.0.6,6.4.1,7.2.2,^5.4.21,^5.1.8,7.3.0,^4.5.9,^5.4.5,6.0.11,^4.3.9,^3.0.0,6.3.7,^5.3.5,^5.4.12,^5.3.3,^5.4.9,^6.3.1,^5.2.12,^5.2.8,^4.3.3,^4.4.4,^4.5.1,^3.2.4,^5.4.14,^5.0.12,^4.1.4,5.1.4,^2.8.6,^5.1.1,^6.2.3,^4.1.1,^2.1.0,5.2.2,^3.0.9,^7.1.9,^3.2.5,^6.2.2,^2.2.3,5.4.21,^7.2.4"
prettier-plugin-svelte,200,"^3.2.6,^3.1.2,^2.3.1,^2.9.0,^3.3.2,^2.10.0,^2.8.1,^3.4.0,^3.3.3,^2.10.1,^2.7.0,^2.5.1,^3.2.3,^3.2.7,^3.0.3,catalog:lint,^3.4.1,2.10.1,^2.1.1,^2.5.0,3.4.0,^3.2.5,catalog:,3.4.1,^3,3.2.7,^2.4.0,^1.4.1,^2.2.0,^3.2.2,3.2.2,^2.3.0,^2.6.0"
@sveltejs/kit,178,"^2.21.0,^2.5.4,^1.0.0-next.196,next,^1.8.3,^2.0.0,^2.5.27,^1.16.2,^1.5.0,^2.48.5,^2.22.0,^2.16.0,^2.22.2,^2.18.0,^1.20.4,^2.17.3,2.8.4,^2.7.3,^2.49.1,^2.5.18,^2.47.1,^2.48.7,^2.49.2,^2.48.4,^2.5.7,^2.49.0,^2.47.3,^1.0.0-next.460,^1.0.0-next.158,^1.0.0-next.350,^1.20.5,^2.15.1,^1.30.4,^2.26.0,^2.21.1,^2.7.0,2.49.2,^1.27.4,^2,^2.49.3,2.48.5,^2.48.0,^1.20.2,^1.8.6,^2.7.7,^2.7.2,2.25.2,^2.3.2,^1.0.0-next.322,^2.5.20,^2.43.5,^1.0.0,^1.15.9,^1.0.0-next.231,^1.22.3,^1.30.3,^2.5.0,^1.9.3,2.5.15,1.27.6,2.5.18,1.22.5,2.20.2,^1.0.0-next.165,2.5.4,1.25.0,1.0.0-next.434,^2.9.0,^2.46.2,1.0.0-next.572,^2.20.2"
eslint-config-prettier,166,"8.1.0,^8.3.0,^10.1.5,^10.0.1,6.11.0,^8.8.0,^9.1.0,^6.9.0,^8.5.0,^8.6.0,^10.1.8,^1.5.0,^8.10.0,^10.0.0,catalog:lint,^8.9.0,10.1.1,^10.0.2,^9.0.0,^6.3.0,^10.1.2,10.1.8,10.0.1,^9.1.2,9.1.0,^10.1.1,^8.1.0,^8.4.0"
svelte-check,165,"^4.0.0,^3.6.0,^3.0.3,^3.2.0,^3.0.1,^1.0.0,^4.3.4,^4.2.2,^2.7.1,^2.2.7,^4.1.7,^4.0.5,^3.4.3,^4.3.3,^4.3.2,^4.3.5,^4.3.1,^3.7.0,^2.3.0,^2.2.10,^3.4.5,^3.4.6,3.8.6,^4.1.1,^3.7.1,^2.7.0,^4.3.0,4.3.5,^4.0.2,^3,^4.1.6,4.1.4,^4.1.5,^3.4.4,4.2.2,^3.6.2,^4.1.4,^3.8.4,^4.0.1,^3.6.9,^2.8.0,^2.2.11,^2.10.2,^2.2.6,^3.0.2,^2.9.2,^3.8.5,^3.6.3,^3.0.4,3.6.6,^2.1.0,^3.6.4,^3.5.0,^2.2.5,3.6.8,3.5.2,^2.5.0"
@types/node,156,"^16.11.7,^20.14.2,catalog:,^14.11.1,=12,^8.0.53,^10.9.4,=8,^22.15.3,^20.11.0,^22.10.6,^10.0.0,^15.12.2,^22.13.1,^22.5.5,^18.11.7,^8.10.53,^17.0.31,=14.18.34,^22.0.0,22.19.0,^18.15.3,^20.11.27,^13.1.8,^24.0.0,^24.3.1,^20.13.0,22.13.10,^24.6.2,22.10.2,24.3.1,^20.0.0,^24,^20,^24.10.1,^24.0.15,^22.13.10,^22,^22.0.2,^24.9.2,^24.5.2,^24.6.1,^25.0.3,^24.10.0,^20.12.7,^22.19.1,^22.10.1,^20.10.5,^20.14.10,^24.0.13,^22.5.4,^20.14.8,^24.10.4,^20.11.17,^25.0.2,^22.15.29,20.19.27,^24.3.0,^24.2.1,18.19.86,^14.18.63,^22.13.9,^16.11.45,22.10.7,^20.2.1,^20.12.12,^20.12.8,^20.3.3,^18.11.19,^20.11.5,^24.1.0,^20.14.9,^20.19.21,^22.1.0,^20.8.10,24.10.4,^6.0.54,^22.10.5,^17.0.1,^22.15.19,^22.9.3,22.10.10,22.19.3,^22.13.14,^20.2.3,^20.17.0,^22.13.0,20.11.26,16.11.47,^18.0.0,6.0.92,^16.0.0,^22.15.2,^16.7.2,^22.13.13,^22.13.11,25.0.3,^22.15.21,16.7.10,16.11.6,24.10.1,9.4.0,^17.0.25,^16.11.36,^16.11.22"
